"date","comment","holiday_set_id"
2009-01-01,"New Year's Day",1
2009-04-10,"Good Friday",1
2009-04-13,"Easter Monday",1
2009-05-04,"Early May Bank Holiday",1
2009-05-25,"Spring Bank Holiday",1
2009-08-31,"Summer Bank Holiday",1
2009-12-25,"Christmas Day",1
2009-12-28,"Boxing Day",1
2010-01-01,"New Year's Day",1
2010-04-02,"Good Friday",1
2010-04-05,"Easter Monday",1
2010-05-03,"Early May Bank Holiday",1
2010-05-31,"Spring Bank Holiday",1
2010-08-30,"Summer Bank Holiday",1
2010-12-27,"Christmas Day",1
2010-12-28,"Boxing Day",1
2011-01-03,"New Year's Day",1
2011-04-22,"Good Friday",1
2011-04-25,"Easter Monday",1
2011-05-02,"Early May Bank Holiday",1
2011-05-30,"Spring Bank Holiday",1
2011-08-29,"Summer Bank Holiday",1
2011-12-26,"Christmas Day",1
2011-12-27,"Boxing Day",1
,,
2009-01-01,"New Year's Day",2
2009-01-02,"2nd January",2
2009-04-10,"Good Friday",2
2009-05-04,"Early May Bank Holiday",2
2009-05-25,"Spring Bank Holiday",2
2009-08-03,"Summer Bank Holiday",2
2009-11-30,"St Andrew's Day",2
2009-12-25,"Christmas Day",2
2009-12-28,"Boxing Day",2
2010-01-01,"New Year's Day",2
2010-01-04,"2nd January",2
2010-04-02,"Good Friday",2
2010-05-03,"Early May Bank Holiday",2
2010-05-31,"Spring Bank Holiday",2
2010-08-02,"Summer Bank Holiday",2
2010-11-30,"St Andrew's Day",2
2010-12-27,"Christmas Day",2
2010-12-28,"Boxing Day",2
2011-01-03,"New Year's Day",2
2011-01-04,"2nd January",2
2011-04-22,"Good Friday",2
2011-05-02,"Early May Bank Holiday",2
2009-05-30,"Spring Bank Holiday",2
2011-08-01,"Summer Bank Holiday",2
2009-11-30,"St Andrew's Day",2
2011-12-26,"Christmas Day",2
2011-12-27,"Boxing Day",2
,,
2009-01-01,"New Year's Day",3
2009-03-17,"St Patrick's Day",3
2009-04-10,"Good Friday",3
2009-04-13,"Easter Monday",3
2009-05-04,"Early May Bank Holiday",3
2009-05-25,"Spring Bank Holiday",3
2009-07-13,"Battle of the Boyne (Orangemen's Day)",3
2009-08-31,"Summer Bank Holiday",3
2009-12-25,"Christmas Day",3
2009-12-28,"Boxing Day",3
2010-01-01,"New Year's Day",3
2010-03-17,"St Patrick's Day",3
2010-04-02,"Good Friday",3
2010-04-05,"Easter Monday",3
2010-05-03,"Early May Bank Holiday",3
2010-05-31,"Spring Bank Holiday",3
2010-07-12,"Battle of the Boyne (Orangemen's Day)",3
2010-08-30,"Summer Bank Holiday",3
2010-12-27,"Christmas Day",3
2010-12-28,"Boxing Day",3
2011-01-03,"New Year's Day",3
2011-03-17,"St Patrick's Day",3
2011-12-26,"Good Friday",3
2011-04-25,"Easter Monday",3
2011-05-02,"Early May Bank Holiday",3
2011-05-30,"Spring Bank Holiday",3
2011-07-12,"Battle of the Boyne (Orangemen's Day)",3
2011-08-29,"Summer Bank Holiday",3
2011-12-26,"Christmas Day",3
2011-12-27,"Boxing Day",3

